#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A4216E,,,
#Date Time: 2020-04-30 20:02:49.283,,,
#Sample rate: 800Hz,,,
#Samples: 4922,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 20 mV/div Offset: 0 V,,,
,,,
Time (s),Channel 1 (V),,
-3.74,0.00842229,0.00042229,0.00042229
-3.73875,0.00808849,8.85E-05,8.85E-05
-3.7375,0.0064195,-0.0015805,-0.0015805
-3.73625,0.0057519,-0.0022481,-0.0022481
-3.735,0.0067533,-0.0012467,-0.0012467
-3.73375,0.0074209,-0.0005791,-0.0005791
-3.7325,0.00842229,0.00042229,0.00042229
-3.73125,0.00842229,0.00042229,0.00042229
-3.73,0.00842229,0.00042229,0.00042229
-3.72875,0.00808849,8.85E-05,8.85E-05
-3.7275,0.00908989,0.00108989,0.00108989
-3.72625,0.0110927,0.0030927,0.0030927
-3.725,0.0100913,0.0020913,0.0020913
-3.72375,0.00842229,0.00042229,0.00042229
-3.7225,0.0070871,-0.0009129,-0.0009129
-3.72125,0.0067533,-0.0012467,-0.0012467
-3.72,0.00842229,0.00042229,0.00042229
-3.71875,0.00808849,8.85E-05,8.85E-05
-3.7175,0.0060857,-0.0019143,-0.0019143
-3.71625,0.0060857,-0.0019143,-0.0019143
-3.715,0.0067533,-0.0012467,-0.0012467
-3.71375,0.0074209,-0.0005791,-0.0005791
-3.7125,0.00842229,0.00042229,0.00042229
-3.71125,0.00842229,0.00042229,0.00042229
-3.71,0.00842229,0.00042229,0.00042229
-3.70875,0.00808849,8.85E-05,8.85E-05
-3.7075,0.00908989,0.00108989,0.00108989
-3.70625,0.0110927,0.0030927,0.0030927
-3.705,0.0100913,0.0020913,0.0020913
-3.70375,0.00842229,0.00042229,0.00042229
-3.7025,0.0070871,-0.0009129,-0.0009129
-3.70125,0.0067533,-0.0012467,-0.0012467
-3.7,0.00842229,0.00042229,0.00042229
-3.69875,0.00808849,8.85E-05,8.85E-05
-3.6975,0.0064195,-0.0015805,-0.0015805
-3.69625,0.0060857,-0.0019143,-0.0019143
-3.695,0.0067533,-0.0012467,-0.0012467
-3.69375,0.0074209,-0.0005791,-0.0005791
-3.6925,0.00842229,0.00042229,0.00042229
-3.69125,0.00842229,0.00042229,0.00042229
-3.69,0.00842229,0.00042229,0.00042229
-3.68875,0.00808849,8.85E-05,8.85E-05
-3.6875,0.00908989,0.00108989,0.00108989
-3.68625,0.0110927,0.0030927,0.0030927
-3.685,0.0104251,0.0024251,0.0024251
-3.68375,0.00842229,0.00042229,0.00042229
-3.6825,0.0070871,-0.0009129,-0.0009129
-3.68125,0.0067533,-0.0012467,-0.0012467
-3.68,0.00842229,0.00042229,0.00042229
-3.67875,0.00808849,8.85E-05,8.85E-05
-3.6775,0.0064195,-0.0015805,-0.0015805
-3.67625,0.0060857,-0.0019143,-0.0019143
-3.675,0.0067533,-0.0012467,-0.0012467
-3.67375,0.0074209,-0.0005791,-0.0005791
-3.6725,0.00842229,0.00042229,0.00042229
-3.67125,0.00875609,0.00075609,0.00075609
-3.67,0.00842229,0.00042229,0.00042229
-3.66875,0.00808849,8.85E-05,8.85E-05
-3.6675,0.00908989,0.00108989,0.00108989
-3.66625,0.0110927,0.0030927,0.0030927
-3.665,0.0100913,0.0020913,0.0020913
-3.66375,0.00808849,8.85E-05,8.85E-05
-3.6625,0.0074209,-0.0005791,-0.0005791
-3.66125,0.0070871,-0.0009129,-0.0009129
-3.66,0.00842229,0.00042229,0.00042229
-3.65875,0.00808849,8.85E-05,8.85E-05
-3.6575,0.0060857,-0.0019143,-0.0019143
-3.65625,0.0057519,-0.0022481,-0.0022481
-3.655,0.0067533,-0.0012467,-0.0012467
-3.65375,0.0074209,-0.0005791,-0.0005791
-3.6525,0.00842229,0.00042229,0.00042229
-3.65125,0.00842229,0.00042229,0.00042229
-3.65,0.00842229,0.00042229,0.00042229
-3.64875,0.00808849,8.85E-05,8.85E-05
-3.6475,0.00908989,0.00108989,0.00108989
-3.64625,0.0114265,0.0034265,0.0034265
-3.645,0.0104251,0.0024251,0.0024251
-3.64375,0.00842229,0.00042229,0.00042229
-3.6425,0.0074209,-0.0005791,-0.0005791
-3.64125,0.0070871,-0.0009129,-0.0009129
-3.64,0.00842229,0.00042229,0.00042229
-3.63875,0.00808849,8.85E-05,8.85E-05
-3.6375,0.0060857,-0.0019143,-0.0019143
-3.63625,0.0060857,-0.0019143,-0.0019143
-3.635,0.0067533,-0.0012467,-0.0012467
-3.63375,0.00775469,-0.00024531,-0.00024531
-3.6325,0.00875609,0.00075609,0.00075609
-3.63125,0.00875609,0.00075609,0.00075609
